ShaShiYaYi 	parece que ya está muy lejos de Kako	Moabiresronki Kakonko kikin ani peixobo irabeke
ShaShiYaYi 	¿Por qué los tazones están escritos con sal?	¿Jawe kopiki tatsakabo joshiman wisha iki?
ShaShiYaYi 	este libro es un libro que puede ser utilizado por tus profesores como guía y puede ser útil a ti y a tus profesores como también puedes tomarlos en el aula para que, al mismo tiempo, tus padres y tus alumnos puedan ayudarte a ti mismo y a la vez también debes ayudar a tus alumnos y a los que te escuchan	kixon aka, mesko jawekibo jainoa oinax mia Nato kirika riki axeamisbobetan tsinkixon aka, mesko jawekibo jainoa oinax mia xeaibaonribi mia akinti atipanke, axetikopi, min anibaon itan mibe axeaibaonribi mia akinti atipanke, a akintibo jake jainxon jaskaribiakin min axeamisninribi mia akintibo jake jainxon bena shinanbo min bibotikopi
ShaShiYaYi 	ahora escuchen este dibujo	Rama ribojo oinax yoyo ikanwe
ShaShiYaYi 	les ofrecen huevos de gallina, pescado, carne, sal, miel y otras cosas más que los niños piden en sus casas	Raroakin menikanai: Atapa bachi, yapa, nami yonan, tashi, mispan, jainxon wetsa jawekiboribi bakebo jaton xobon yokataboribi
ShaShiYaYi 	cuál de los dos es tuyo según tu opinión	Min shinan yoiya akain, jaweratoborin jawen tapon, jabo tawishwe
ShaShiYaYi 	Por qué también tiene que escribirse en otra parte?	¿Jaweatiki jatiribi joibo wishaxon tawishti iki?
ShaShiYaYi 	aconseja a sus hijos	jawen bakebo esei
ShaShiYaYi 	en todo caso uno de los ancianos de la ciudad era un médico llamado Mai	Jaskarabo noa itaibironki meráya Awá Mai janeya jonin non reken yosibo aká iki meskó jawéki ati axea akin
ShaShiYaYi 	¿Cuántas carachamas vende Sanin Nima?	¿Jaweti ipoki Sanin Nima maroma?
ShaShiYaYi 	y dijo a su madre: « Siéntate a mi derecha, hasta que humille a tu izquierda.	Jainxon oinaronki ika iki nato nochon tita komon komon iki onsati, jainoaxki jikipaketi
ShaShiYaYi 	¿Qué debemos hacer para sanarnos?	¿Kenaxon yokati ati iketianmein jawekeskati noa benxokati iki?
ShaShiYaYi 	piensen en lo que hemos escrito	Shinanon ikanwe jawe imaaki non wishati iki ixon
ShaShiYaYi 	todos nuestros pueblos deben escribir	Non jemabaon jatixonbi jan wishati kopi
ShaShiYaYi 	diles las cosas claras	Onantishaman akin joibo yoiwe
ShaShiYaYi 	para que se conozcan los buitres de esos reptiles	Jain bachi jabo onantikopira shipibo-konibo jonibo ninkakanankanai
ShaShiYaYi 	estos son los trabajos que se realizan en el aula	Axetixobonkoxon atibo Natobora rabexonbi atibo iki: Atsa banati teeboki yoyo ikanai
ShaShiYaYi 	pongámonos más firmes en las cosas que hemos aprendido y contando las cosas que hemos aprendido no las aprendamos solos sino que las hagamos a medida que aprendan	Non onanbea jawekibo koshiaboresnon ikanwe Non shinanxon toponti onanbeaimeranxon, jatobichobo tanamabokin kikinshamakin axemaboti, abanon jatonbi ati onankin ixon
ShaShiYaYi 	otro dijo	Wetsan yoia bia
ShaShiYaYi 	en verdad los niños deben corregirse para que no se desvíen	Ikon, ponteshamanbo jakonshamaankin yoiboti jake, bakebaon onantibo, ninkatishaman iken basima onankantikopi
ShaShiYaYi 	Haz estas preguntas: ¿Por qué te preocupas por proteger a nuestros padres?	Nato yokabo yoiwe: ¿Jawekopiki min shinanai non anibaon noa koiranti?
ShaShiYaYi 	escríbelo en un cuaderno de trabajo	Tanakin wishawe tee ati keshana
ShaShiYaYi 	conversen de palabras	Joibo yoyo ikanwe
ShaShiYaYi 	que vean los collares confeccionados en fila y que expliquen qué han elaborado	Ja teoti akanabo joyonxon oinkanai itan jawe bimiboki keonkana ixon yoikanai
ShaShiYaYi 	reúne a tus alumnos y haz que dibujen los animales	Mibe axeaibetan tsinkixon jan jato onanmai iamax keshanai yoinabo ribojanwe
ShaShiYaYi 	los contará hasta que se cuenten seis	Topontibora pakeai atibi keskaaxon sokota bebon topontiabo kaman
ShaShiYaYi 	cuando leamos la cabeza de dios	Jaskaaxon mapo atikira non yoyo akai
ShaShiYaYi 	Ahora bien, en cuanto a las cosas que se consideran, este es el punto principal:	Jatian ja naman ikainra non oinai janekinmabi ja ika joi Be- kan toan: BEKAra joke
ShaShiYaYi 	hay más de cuatro grupos	Ja tsamatibira jake 4 berobo ja tsamainbo
ShaShiYaYi 	Entonces dijo: « ¡Ay, ay, ay, ay, de mí! ¡Ya he perdido la vida!	Jaskaketianki aka iki -Awe joni enra moa wame pibeiranke, moa rae ea poto iki- akin
ShaShiYaYi 	tráeme el diente de mi madre	Nokon xepan ea bexonwe irai tita
ShaShiYaYi 	después de haber terminado tu carta, vuelve a escribir	Moa min wisha benxoa pekao, jakiribi wishawe
ShaShiYaYi 	esta era la faja delgada que reverdecía muy bien	Neskara chinexetira ikatiai, kikin kesten tsaranki, tsaranki ikai metsashaman
ShaShiYaYi 	Y a otro, ¿no le dices tú: “ Sí, Señor, yo iré todos los días a tu casa, y en tu reino entraré ”?	Jainxon wetsaribi yoiai, netetibi axeti xobonko jonoxra ea jan boexetai ¿jawemein iki?
ShaShiYaYi 	Qué es más fácil, decir: “ Tus pecados son perdonados ”, o decir: “ Levántate y anda ”?	¿Jakonrin jaskarabo onanti?, ¿jawe kopi?, ¿jawe atiki maxkon wishakin peotima iki?
ShaShiYaYi 	puede ser bautizado por la izquierda o por la derecha	Jainoa xexayanin tsakati atipanke iamaxon too atinin atipanke
ShaShiYaYi 	la comida de sus sembríos es abundante y abundante	Chikiraya itan poroto riki jaton bana banati yoa
ShaShiYaYi 	haz los dibujos de este libro	Nato wishameran tsakabo axonwe
ShaShiYaYi 	al coger el huevo, mi hijo lo pone en el hueco de su mano y lo muerde	Ja bachi bikin rateyonkinra nokon baken jawen meken kinimeran niaxon make natexmakeinbake
ShaShiYaYi 	los enfermos aguantan la masa	Chexakati rakatabaonra masa teneai
ShaShiYaYi 	Porque nuestra naturaleza corruptible se revestirá de lo incorruptible, y nuestro cuerpo mortal se revestirá de inmortalidad.	Non nii riki jain keyoti onanti yama, kikin ani, ja riki noa jonibo, yoinabo, parobo, ianbo itan nai netemea ja jawekibo koshia
ShaShiYaYi 	Bawan Kate es una mujer muy buena y jacob también	Bawan Kateronki ika iki kikin jakon ainbo jatian Korin Metsakan jaskaribi
ShaShiYaYi 	y no le echaron mano al que no tenía la cabeza	Ja awionmabopan teayamakana iki
ShaShiYaYi 	te ayudaré en todo lo que puedas porque no me has olvidado, pues yo soy tu mejor amigo	Jatibi min jati jawekibora en mia akinti iki, eon mia shinanbenoyamano ixon, ea riki mia jabe jakoni raenanai
ShaShiYaYi 	una mamá les enseña cómo confeccionar las semillas	Westiora titan jato jaskaxon bimibo keonti axeakai
ShaShiYaYi 	en ese momento la mujer se preparaba a preparar y esperar	Jatianki jaa ainbo yoa ayananbi mana manati
ShaShiYaYi 	todo está en orden	Moa jakon ikatibi jakonma
ShaShiYaYi 	escribe lo que pides	Jaskaakin min yokataibo wishawe
ShaShiYaYi 	¿Cómo se lo dices?	¿Jawekeskaxonki jato min yoiti iki?
ShaShiYaYi 	mi padre planta la espesura cerca del mar	Nokon papanra wean kexa xeki wai akai
ShaShiYaYi 	explícales cómo deben vivir en el aula	Axeti Jain xobo ati Ribojo oinax yoyo ikanwe
ShaShiYaYi 	detrás de la cortina estaban los querubines de gloria que daban sombra al propiciatorio;	Jaskara xobobo akinra akanai kextoshaman akin xewakin, metsashaman inon ixon pishin kimisha joyo akin oken abekonkin
ShaShiYaYi 	el mesías mató a 60 personas	Metsanra 60 jasin reteke
ShaShiYaYi 	en el río Rawa le trajeron 8 hilos a sus dos hijos	Rawa Nitanra 8 yoman jawen 2 bake bexonke
ShaShiYaYi 	Además de todo esto, logré que mi hermano pasara por aquí y le diera fuerzas para que pudiera ayudar a sus hijos, con lo que le hice en la tierra de Maxúa.	Jainoax jaskara ikin nokon wetsan ea iwenike neno, iskoira jaton bakebo amakaskin, jatian neno en xobo ake Maxpayain xobo axon
ShaShiYaYi 	¿Conoces la tierra?	¿Minki mawetan onana?
ShaShiYaYi 	este es el aspecto de jesús	Neskaakin: Shinokon riki wetsaresibi jisá
ShaShiYaYi 	el total en total es de tres millones	Jati paketa: Samenra natetibi 3 payon akai
ShaShiYaYi 	nuestros alimentos y otros alimentos no son parecidos	Non jawekiatibo itan wetsabaon jawekiatibora jaskara jisabiresma iki
ShaShiYaYi 	tomen la cabeza y hablen con el dueño	Mapo bikin peokaniki yoyo inon ikanwe Jainoa mapo bitiki itanribi jawen ibokiribi yoyo inon ikanwe
ShaShiYaYi 	los jóvenes estaban borrachos con el masato	Kaketianki xoke bakeranonbaonki aka iki atsa xeatinin paen akin
ShaShiYaYi 	Y así como Janes y Jambres se oscurecen, así tampoco la gente se llamará: “ Hoy ha llegado el día de nuestro Señor ”.	Janen kenatimanin jato kenakinra, jaton janen kenatima iki jonibo neskara : Nimara moa kake
ShaShiYaYi 	escribe bien	Jakon akinki wishati
ShaShiYaYi 	y cuando ya estaban terminando de hacer la purificación le quitaron el color blanco del dibujo, el diseño negro del chicle rojo con rayas rojas el chicle negro, el color negro y el color negro	Moa shipiboboaon bikin senen aketian koniboboaon bikana iki joxo chitonti keneya, wiso rakoti keneya, joshin rakoti sereya, moro chinexeti, jonxe, itan basha ati
ShaShiYaYi 	cuando las semillas se ponen a tapar la tierra	Jatian bero napotai jaskaaxon main mapoai
ShaShiYaYi 	y decían que lo volverían a ver	Jainxon oinkanaronki ika iki jaa joniki mexo mexoi, jakiribi oinkanaki moa yama
ShaShiYaYi 	aquí se preparan el plátano y la yuca	Nawe waiaxonra akanai paranta betan atsa banakin
ShaShiYaYi 	si no te queda muy lejos hazle un collar a la semilla	Yoman nenkematani ikain mansian bero keonwe
ShaShiYaYi 	escribe lo que falta de gente ¿De quién es esta casa?	Joi maxkabo wishawe ¿Tsonarin nato xobo?
ShaShiYaYi 	¿Por qué no llevas su nombre?	¿Jawe kopiki jowe akin jaton janen janeyamapaokani?
ShaShiYaYi 	Por qué no se debe curar una vez por todas?	¿Jawekopimein ja jos ati raonbo atima iki?
ShaShiYaYi 	escribe la explicación	Wishawe jaskaaxon ati
ShaShiYaYi 	escribe en tu libro lo que quieres decir	Min yoikasaibo chitemeran wishawe
ShaShiYaYi 	los ojos de ella están blancos como la luz	jan oinakayaki kikinshman joxokaina metsa
ShaShiYaYi 	¿Qué es lo que no sabemos?	¿Jawebomein noa onamai?
ShaShiYaYi 	Cuando los ashaninkas vieron que su padre tenía ocho o diez años, y que su madre se llamaba Asá,	Ashaninka jonibaonbiri akai, posaka iamax chonka baritiaya jaton benbo bake iketian, jawen papan iamax yosin, romen koshonai jawen meken
ShaShiYaYi 	la madre me dijo que me cuidara de su hijo porque su hijo estaba enfermo	Isin koshi nokoketianra titan koirameti ea yoike
ShaShiYaYi 	Sus pies son veloces para que no pueda dormir	Jaton bachira wetsabo nemikanai, jan oxanaketian
ShaShiYaYi 	¿Queremos solamente comida hoy?	¿Jawekiatininbichoki ramatianbo noa kenai?
ShaShiYaYi 	cortando la corteza de los árboles quedarán teñidos de blanco	Matsiken xaka nebixon, joxo chopa pokoti iki
ShaShiYaYi 	Escribe en un libro lo que has comenzado a hacer y así se hará en el futuro.	Jatibi wishakin peokinra anin wishati iki, moa senetiainko tsaka ati iki
ShaShiYaYi 	dobla el frente de la casa	Ja beporo rekeanbainkin katowe
ShaShiYaYi 	¿Quién dice la escritura?	¿Tsoashamanrin nato wishakan yoiai?
ShaShiYaYi 	los niños aprenden el canto de la canción	MASH IT ONANT Bakebaon jaa onantibo: Tsinkitax mashá ikanai
ShaShiYaYi 	¿Cuándo sucederá eso?	¿Jawetian winokanamein iti iki?
ShaShiYaYi 	estaba yo de pie frente al río y vi un resplandor	Paron chankapakekirin en shonkin oinke
ShaShiYaYi 	la gente que iba al frente iba detrás de jesús	Bekeibara jonibo bokanke santira oroi
ShaShiYaYi 	por qué le dices a Jisa la respuesta correcta	Jaskaati yoiabo Yoiabo Jisa yoiabo y Yoiwe, ¿jawekopi?
ShaShiYaYi 	Gálatas 6:	Tsama 6: MANANXAW keska joibo
ShaShiYaYi 	La melaza viene del rocío, Rono.- La flor va andando conmigo, natexmis	Merayaninra rome jotiai, Rono.- Xochin ninoti niai, natexmis
ShaShiYaYi 	escribe lo que sus padres dijeron para que todos lo vean en el aula	Yoiwe jato, jaton anibaon yoiaibo wishakanon, axetixobonkoxon jatixonbi non oinkantikopi
ShaShiYaYi 	dicen que cuando el hombre salió a buscar muchos peces no tenemos pescado	Mesko yapabo pikoni Joní benatianronki noa ipaonike yapa piti onama
ShaShiYaYi 	porque esto es lo que estamos haciendo y no lo que estamos haciendo	Jaskati jaa riki noa, noa non ese jaskara iketian
ShaShiYaYi 	por eso debemos decir que somos dos	Jaskara iti kopi rabe-rabe akin non jisa yoiti jake
ShaShiYaYi 	¿Cuántas mujeres están comiendo huevos de carachama?	¿Jaweti ainborin ipo bachi nemani?
ShaShiYaYi 	Escribe estas palabras al pie de la letra: atrás, atrás, arriba, abajo,	Jaskaakinra nato joibo min wishati jake: keiba, meran, jeman, bochiki, naman, patax
ShaShiYaYi 	todos esos aulas están llenos de sabiduría y conocimiento	Ja axetibo Jatixonbina jawekiboki yoyo ikanai, shinanshamanax itan onanshamanax
ShaShiYaYi 	mi primer hijo es sanken kopi	Nokon reken bake riki Sanken Kopi
ShaShiYaYi 	ya sea que se trate de mujer o de hombre, o de mujer, o de un anciano, o de una anciana,	Ronon ewan natexti Ja riki xoa joni iamax ainbo moa yosicha iamax yoxancha, ikaxbira iti jake ja joni iamax ja ainbo jakon shinanya
ShaShiYaYi 	escribe lo que has oído y lo que no has visto	Min ninkata bena joibo itan onayama joibo wishawe
ShaShiYaYi 	dibújalo en dos partes	(Rabeti iti) Metsa ron ron ayona
ShaShiYaYi 	el palo se partió en la mano	Kokanra joe makina pishake
ShaShiYaYi 	de esta manera el anciano arregla la casa	Neskaakin: yosi menin ixon metsa xobo akai
ShaShiYaYi 	ahora escribe las preguntas	Rama yokabo wishakanwe
ShaShiYaYi 	¿Cuánto debe pagar Ranko por comprar resina y miel?	¿Jawetiki Rankon kopiati iki amakiri yonan betan bawin kawa bikin?
ShaShiYaYi 	entrégales a los niños las hojas que han sacado y pégalas	Ja peibo bakebo menixon yoiai ja kirika pikokanain axeamisnin akinaton ja peibo taxnanwe
ShaShiYaYi 	hablemos de estas cosas y oigamos lo que decimos	Jaskarainkobo yomeratiboki yoyo inon itan ninkanon ikanwe ¡Noa riki imaabo yoikasbo yoyo inoxonra non shinanai
ShaShiYaYi 	allí hay un hombre que se llama jesús y que quiere ir a ti	Ja janeya riki jain ika joni, jara min yokati kai iaman jikikaskin akin
ShaShiYaYi 	la mujer lo hizo cuidando de su cuello	Jaaki aka iki ainbonin kikiankin koiranxon aniakin
ShaShiYaYi 	conversa con los dibujos de los dibujos del aula	Axeti Yoinabo onanti Ribojo oinax yoyo ikanwe
ShaShiYaYi 	¿Qué hombre puede tener árboles para vivir?	¿Jawe atirin, jiwibo jaribanon ixon?
ShaShiYaYi 	todo lo que has visto	Jaweboki min oina
ShaShiYaYi 	¿Qué música debe tocar?	¿Jaweboki keneati iki?
ShaShiYaYi 	escribe acerca de esto	Yokabo yoikin wishawe
ShaShiYaYi 	¿Qué debemos aprender?	¿Jawemein noa axeakai?
ShaShiYaYi 	si me llaman diles que me escuchen en el radio o que me dirijan a Internet	Jawekeska ixon ea kenaxon yoikana, en rarionin ninkata, iamax internet ikainko oinax
ShaShiYaYi 	¿Tus abuelos comieron sardinas?	¿Min yosibaonki sapen pia iki?
ShaShiYaYi 	la ley de moisés y el pueblo	Konibo jonibo betan jakonmanankatikanai
ShaShiYaYi 	encuentra allí un animal	Jain yoinabo merati
ShaShiYaYi 	entonces le dijo	Jatianki yoia iki -Mia roomabanon jatianra moa mia chibantima iki- akin
ShaShiYaYi 	todos se pusieron de acuerdo y pasaron la frontera	Moaribi paketa oinax jatibi jonibo senbobaini kaxon winon marishkikana iki
ShaShiYaYi 	ustedes saben muy bien que él les va a poner en práctica muchas cosas	Janra jakoinraakin maton onana mesko jawekibo orichabo maton koshiaxonai
ShaShiYaYi 	Hablen ¿cuántos hombres van a construir la casa?	Yoyo inon ikanwe ¿Jaweti joniboki jain xobo ati benai bokanai?
ShaShiYaYi 	con qué otros alimentos has de hablar mira los dibujos	Jaskaaxon yoabo jawekiatiki ika yoyo awe Ribojo oinwe
ShaShiYaYi 	si siembran beros no les impidan que se acerquen a la tumba	Bero banaxonra akai jiwi chankanxon joni chopa sawemakin isabo jonaketian
ShaShiYaYi 	no hay que echar al hijo de su padre para que no se derrita y se derrita	Moa raona pekao, jawen papan bake potati yamake xonbon chikish banenaketian itan mechama inaketian
ShaShiYaYi 	el que tiene la lana debe levantarla	Jan kobinai wexken ati
ShaShiYaYi 	al cabo de tres meses sus discípulos estaban muy desconcertados	Moa kimisha oxe senenketian oinaronki jawen taponboki kikinshaman toxaabainabo
ShaShiYaYi 	todo lo que decimos y escuchamos	Keshana non yoiai itan ninkatai
ShaShiYaYi 	haz que escriban para que pisen el hilo	Yokáti tsaká Yokáti tsaká wishati riki jato yokákin ati
ShaShiYaYi 	¿Han cumplido con eso?	¿Jaskaakin senentiainko yoiaki maton aka?
ShaShiYaYi 	le dieron a C - Satiel el resultado es que el Reshin Tosmara tiene solamente una piña	menike C - Jati paketa: Reshin Tosmara baneke kankanyares
ShaShiYaYi 	escribe en un libro lo que es bueno y malo	Jakopi, jaskata jainoax jakonma itan jaskaaxon benxoati wishawe
ShaShiYaYi 	concédele el favor	Neteshamanxon yoyo awe
ShaShiYaYi 	siéntate en el edificio y explica todo lo que hemos leído	Xobo xewatiki ikara non yoyo akai Ribojobo oinxon yoiwe
ShaShiYaYi 	di lo que piensas	Min shinanbiribi yoiwe
ShaShiYaYi 	por eso mi padre nos dice que debemos cambiar de parecer: ⁇ : ⁇ : Pishkibo: Xetibo: si es el momento, mira acá 16: Ponsen es como un animal de carga	Jaskarakopira nokon papan ras akai Meskotibo noa yoyo ikaibo: Shipibo: Konibo: Pishkibo: Xetebo: iketian ikentian iketian 16 Neno oinribiwe: Ponsen Ponsen riki mebia yoina shino jisa
ShaShiYaYi 	Y uno de ellos se sienta a la mesa, y dice: "Aquí tienen a cuatro."	Wetsa axeai bake yakata ikai neskati: Jainriki chosko
ShaShiYaYi 	¿Qué pasa en la playa?	¿Jaweki winotai atima mainko waia?
ShaShiYaYi 	escríbele al contador la tela de inicio y la terminación	Topontinin wishawe chopa akin japari peoti itan jain keyoti
ShaShiYaYi 	lee lo que dice este libro	Yoyo awe yoianabo nato wishameran min onanon
ShaShiYaYi 	escribe en tu libro lo que piensas	Min shinanaibo chitemeran wishawe
ShaShiYaYi 	deja aquí otro papel	Neno ayamakin wetsa kirika pein awe
ShaShiYaYi 	¿Quiénes eran los dos que el rey quería ser rey?	¿Tsoa rabébichoki apo ikasi iibata?
ShaShiYaYi 	¿Sabes de quién es esta conversación?	¿Minki onana tsobeki jaskati yoyo ikanai?
ShaShiYaYi 	Pero cuando Priscila vio que lo estaban matando, le dijo que le diera un lugar al que no viviera, para que no se encontrara con él.	Jatian xakacharo yosin shinana iki, moa xokebaon jawen bake retekana, jaskaatananki ika iki Ikonrake konpa mia jaares yokati joaxra ea iitai, jaonomaki jaweintain kaamaki ikayai en benabatanon akinki aka iki
ShaShiYaYi 	y no hacen más que enzarzarse en discursos interminables sobre mitos y genealogías.	Jaskaribi yoyo icha osayamakanai, tsiniyamakanai, jatona ani masa shinantires iketian
