Mexican_constitution 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS 	NDÄTHOT’I, HÑÄSÜMP O TE X E NI HNINI G A THO M’OND A 
Dictionary 	Ese palo que estaba aquí yo no me lo llevé, otro que pasó se lo llevó.	Nuʼä ra za mi ʼbe̱ngua hingo dá hätsʼi, ha bi thogi mänʼa ha bi ñhätsʼi.
Dictionary 	Deseo un pedazo de carne asada; voy a asar un pedazo.	Dí kʼatʼi ʼna xe̱ni ra ngo̱ nthäxi; mä ga häxi ʼna xe̱ni.
Dictionary 	La gente ya han entresacado de la milpa las mazorcas más grandes.	Ha ra huähi ya jäʼi ya häʼti ya dänga thä.
Dictionary 	Escoges los aguacates por tamaño para empacarlos.	Ya tsʼani gi häʼti po yá ndängi pa dä ʼu̱i.
Dictionary 	Cada año le llevo unos duraznos a mi comadre.	Tatʼa je̱ya dí hätsuí ʼra ya ixi mä zi mäne.
Dictionary 	Xuua go dí häʼtsuí ya ndäpo ha ʼMonda.	Ra nda.
Dictionary 	El excavador de canal ahondó demasiado la excavación.	Ra xeʼmä ʼñuthe, ntsʼe̱ bi he ra nsei.
Dictionary 	Aquel borrego que compré es huidor de la manada.	Nuni ra ndäni dá tai ra hege ha yá ʼñoui.
Dictionary 	Con el terremoto se cuartean las casas.	Ko ra hmäʼmhai di hege ya ngu.
Dictionary 	La piedra que estás golpeando ya empezó a partirse.	Ra do gí thontʼi, ya bi mu̱di bi hege.
Dictionary 	Este camino se divide allá abajo.	Nuna ra ʼñu bí hegeni ngaʼti.
Dictionary 	Aquel matrimonio se divorció.	Nuyu̱ ya medinthäti, bi hege.
Dictionary 	Aquel muchacho que se casó se separó de sus padres.	Nuni ra tsʼu̱ntʼu̱ bi nthäti, bi hege ha rá ngu yá dada.
Dictionary 	Los animales que andaban juntos se desperdigaron; ahora por dondequiera andan.	Ya mboʼni mi ʼyo ʼnaduu̱ bi hege, nubye̱ ʼranʼambu̱ ʼyo ʼra.
Dictionary 	Esos hombres que eran muy amigos se distanciaron, y ahora ni se saludan.	Nuʼu̱ ya ʼño̱ho̱ ntsʼe̱di myá ntsitsʼi migo, bi hege; nubye̱ ni di nze̱ngua.
Dictionary 	Los hombres trabajan unidos, pero la cosecha la dividen.	Ya ʼño̱ho̱ dri mpe̱fi mähye̱gi, pe ra sofo dri hñege.
Dictionary 	Ahondé el pozo como veinticinco metros y no hay agua.	Dá hegi ngu ʼnatemäku̱tʼa tʼe̱ni ra nju̱sdehe ha otho ra dehe.
Dictionary 	El niño tosió toda la noche, ahora como que ya no tose.	Ra bätsi gatho ra xui bi ñhehe, ya nubye̱ nguʼbu̱ hingi hehe.
Dictionary 	Estoy pensando en mi padre que no está aquí, no sé si estará bien.	Dí hei mä dada joʼo, hindi pädi ua bí ʼbu̱i xá ñho.
Dictionary 	Las criaturas traviesas han partido a la mitad las calabazas que estaban en la milpa, para sacarles las semillas.	Nuʼu̱ ya mu mi ʼboni ha ra huähi, xa hekände ya xäkʼye̱ bätsi pa xa gu̱ ʼmpä yá nda.
Dictionary 	Parte las calabazas para que les saques las semillas.	Heke ya mu pa gi ku̱ʼmba yá nda.
Dictionary 	Ve con el mediero de la siembra para que repartas la cosecha.	Rí ma ko ra hyandi de ra ʼbotʼi pa gi heke ra sofo.
Dictionary 	Los explotadores de minas agujeran todos los cerros donde hay mineral.	Ya nxeʼatʼi te heki ya tʼo̱ho̱ habu̱ ja ra atʼi.
Dictionary 	Al peón tal vez se le hizo difícil el trabajo, por qué ya no regresó.	Ra ʼbe̱go ua bi hembi ra ʼbe̱fi, ¿hänja himbá pengi?.
Dictionary 	El tamaño de la lombriz que arrojó el niño, es como de un jeme.	Rá ndängi ra matse̱ bi mo̱ge ra bätsi, ngu ʼna heme.
Dictionary 	Si alguien se trepa a un cerro alto, puede ver hacia abajo y contemplar lo que hay abajo.	ʼBu̱ toʼo dä no̱ ha ʼna ra tʼo̱ho̱ xá hñetsʼi, tsa dä heʼmi rí gäi pa dä hyandi nuʼä ja njaʼti.
Dictionary 	Ahí viene el distribuidor de leche y la gente lo está esperando desde hace rato.	Ya xa ʼñekua ra hengäʼba ha nu ya jäʼi ya mäheʼbu̱ to̱ʼmi.
Dictionary 	El comisario es el repartidor de tierras en el ejido.	Ra tsʼu̱tfi hye̱mhai go geʼä ra hengähai ha ra ejido.
Dictionary 	Nesto pe̱ʼtsi ra ʼbe̱fi dä heni yá nzaki nu ya bätsi ha ra ngusadi.	Ra.
Dictionary 	Xuua henthähi ga xudi ha ya sta patʼi ra hyadi dä tsaya.	Ra.
Dictionary 	Allá, en la ciudad, mi hijo es el repartidor de agua; maneja un camión.	Nuni ha ra hnini go ra henthe mä tʼu̱, ko ʼna ra bo̱jä di ʼye̱tʼi.
Dictionary 	El pájaro carpintero agujera el quiote del maguey con el pico.	Ra ʼñafi hestʼi rá bo ra ʼuada ko rá ndoʼyone.
Dictionary 	Jesús (nombre propio) ʼBu̱ʼu̱ ya jäʼi ja yá thuhu ra Hesu.	Hesu (Hésu) s.
Dictionary 	Al angelito ya lo vistieron; lo vistió su madrina para echarlo en la caja.	Ra zi e̱nxe̱ ya bi thete; bi hete rá menjä pa dä tʼe̱ntʼa ra ntʼo.
Dictionary 	No tomes aguardiente; puedes enfermarte del hígado.	Ogi tsi ra hetʼadehe; dä za gi tsʼoʼñä ri ya.
Dictionary 	Xuua hetʼänthähi ga xudi ʼnihi.	Ra.
Dictionary 	Hilo ixtle de lechuguilla para hacer costales de henchir carbón.	Dí hetʼi ra the̱xi tsʼu̱ta pa ra nthoka ʼro̱zä ga ntʼu̱tʼa thehñä.
Dictionary 	Arenalito (ejido de Cardonal) Rá nzaya Hethe bi ma dä ñäte ʼMohai ngeʼä hinto ne dä ungä ʼbe̱fi.	Hethe (Hethe) s.
Dictionary 	Si van a bañarse no se vayan a meter en las aguas profundas.	ʼBu̱ gi maha ra nsaha oxki ku̱ʼthu̱ ha ya hethe.
Dictionary 	Estoy cobijando al niño para que no tenga frío en la noche.	Dí hetsʼe ra bätsi pa histra tse̱ di nxui.
Dictionary 	La mata de chayote tapa a la mata de mezquite.	Ra ʼbai ga xamu hetsʼe rá ʼbai ra tʼähi.
Dictionary 	El agua riega parejo el cantero, no se va de un solo lado.	Ra dehe hetsʼe ra e̱ni, hindi katitho.
Dictionary 	Dicen que el aguardiente fuerte mata pronto a la gente.	Tʼenä ge ra heʼtäbinu ʼnihi ho ra jäʼi.
Dictionary 	El quiote picoso no está muy sabroso.	Ra heʼtäbo hintsʼu̱ ku̱hi.
Dictionary 	Los chiles secos que cocieron huelen tanto que asfixian.	Ra ʼyotʼañʼi bi tʼetʼi, ya bí heʼte.
Dictionary 	Cuando hay humo dentro de la casa se hace picoso.	Nuʼbu̱ ja ra ʼbifi mbo ra ngu, di hetʼe.
Dictionary 	Ya terminé de leer el libro.	Ya dá jäʼtsi dá heʼti ra he̱ʼmi.
Dictionary 	Hay hombres que estudian la astronomía.	ʼBu̱ʼu̱ ya ʼño̱ho̱ toʼo heʼti ya tso̱.
Dictionary 	El pájaro carpintero agujera matas de árboles, y allí hace su casa.	Ra ʼñafi heʼtsi ya ʼbai ga za, pa ja hokini rá nguni.
Dictionary 	Ya voy a dejar los magueyes que raspo, ya se resecaron.	Ya mä ga he̱gi ya ʼuada dí atʼi, ya bi xa.
Dictionary 	Esa mujer abandonó a su esposo para irse con otro.	Ra ʼbe̱hñäʼä bi hye̱gi rá däme pa bi me̱ui mänʼa.
Dictionary 	El vecino suelta sus caballos en la noche para que se coman mi alfalfa.	Yá fani ra ʼnangu he̱gi ga xui pa bi ñuni ha mä hogä ndäpo.
Dictionary 	Para que se cueza bien el nopal chico en el comal lo rajo primero.	Pa tä xá ñho ra xätʼä ha ra doʼyo, dí he̱hni ʼme̱tʼo.
Dictionary 	Un pedazo de carne no quería cocerse, la abrí y se coció.	ʼNa xe̱ni ra ngo̱ himi ne dä dä, mänʼa xá ñho dá he̱hni pa bi dä.
Dictionary 	El rayo abre la tierra.	Ra jue̱i xo̱ʼte ra hai.
Dictionary 	Algunas personas tienen la costumbre de marcarse la cara.	ʼRa ya jäʼi pe̱ʼtsi ya nzäi ge di he̱hni yá hmi.
Dictionary 	Xuua he̱kandäpo ko ʼna ra majuai.	Ra.
Dictionary 	Allí anda un hombre cortando hierbas entre las plantas de maíz.	ʼYoni ʼna ra ʼño̱ho̱ he̱kandäpo mbo ha ra de̱thä.
Dictionary 	No hiciste recto el corte de la tabla, lo sesgaste.	Hingá tsitsʼi mänjuäntho rá nthe̱ki ra xithe̱, gá he̱ki.
Dictionary 	La costurera corta la tela para coserla.	Ra ʼue̱di he̱ʼmi ya dutu pa dä ʼue̱ti.
Dictionary 	Voy a señalar aquellos magueyes mientras traigo el quebrador para quebrarlos.	Ya ʼuadayu̱, mä ga he̱ʼmi mentra ga hä ra tʼe̱thuí pa ga e̱gi.
Dictionary 	Voy a picar los nopales para echarlos en la olla de frijoles.	Mä ga he̱ni ya xätʼä pa he̱tsʼi ga u̱tsua ha ra tsʼenju̱.
Dictionary 	Me corté el pie con una piedra filosa.	Dá he̱ni mä ua ko ʼna ra njuando.
Dictionary 	Estoy surcando ahora que hay humedad, para sembrar.	Dí he̱nthe nubye̱ ja ra xaha, pa ga mpotʼi.
Dictionary 	Mi hermano está cortando palos para hacer carbón.	Mä ku bí he̱nza pa dä hyoki ra thehñä.
Dictionary 	Hijo, ahí déjalo mientras pastan los caballos.	Tʼu̱, he̱pu̱ hmä ya fani dä ñuni.
Dictionary 	Si tu esposo te da mala vida, abandónalo ahí; ya no lo soportes más.	ʼBu̱ ri däme hutsʼa ntsʼoʼmu̱i, he̱pu̱; ya ogi tse̱tuäbi mänʼa.
Dictionary 	En las mañanas, temprano, corto la lechuguilla en el cerro.	Ga xudi ʼnihi dí he̱tʼi ra tsʼu̱ʼta ha ra tʼo̱ho̱.
Dictionary 	En el pescuezo del puerco se ha marcado el mecate.	Ha rá ʼyu̱ga ra tsʼu̱di xa he̱tʼi ra nthähi.
Dictionary 	El agua de tepache es agua picosa.	Ra dehe ga pe̱ni ngu ra he̱the.
Dictionary 	Los segadores segaron rápido la alfalfa.	Ya he̱tsʼi mäntʼä bi he̱tsʼi ya hogä ndäpo.
Dictionary 	Vé a cortar unas pencas de maguey enjutadas para la barbacoa.	Bá he̱tsʼi ʼra ya ʼbanäʼuada pa ra thumngo̱.
Dictionary 	Encontré un segador nada más.	ʼNatho ra he̱tsʼi dá tsu̱di.
Dictionary 	Con la venida de agua por el aguacero se inundaron todos los bordos que son de sembradío.	Ko ra tso̱ho̱ ga dehe de ra däʼye, bi he̱xki gatho ya nthaki ga ʼbotʼi.
Dictionary 	Dicen que cuando va a hornearse el quiote hay que procurar no golpearlo para que no tenga mal sabor.	Tʼenä ge ra bo nuʼbu̱ mä dä thu mäthoni hindra yu̱ntʼi pa hinda he̱ʼti.
Dictionary 	El resorte del calzón del niño le marca la cintura.	Ra liga de rá ze̱xjo ra bätsi di he̱ʼti rá hñu̱ʼti.
Dictionary 	Voy a despuntarle los cuernos a esa res; están muy puntiagudos.	Mä ga he̱ʼtsi yá tsʼä yá ndäni nuni ra ndämfri; ntsʼe̱ xá ntsʼä.
Dictionary 	En este tiempo los que venden maíz o frijol rasan sus cuartillos con el rasero.	Mäpaya toʼo pathä o paju̱ he̱ʼtsi ya huada ko ra nthe̱ʼtsi.
Dictionary 	Hay ahí unas tunas muy bonitas; voy a pelar unas para comérmelas.	To̱hni ʼra ya kähä xi mähotho, mä ga he̱ʼtsi ʼra ga tsi.
Dictionary 	No abras la puerta del baño porque me estoy bañando.	Ogi xoki ra gosthi nthi, ge dí hi.
Dictionary 	Dicen que el gigante es veneno para la gente.	Tʼenä ge ra higante ra ʼñethi thote pa ra jäʼi.
Dictionary 	No, ya no sigo en ese trabajo porque no me gusta.	Hinä, ya hinga ʼyo ra ʼbe̱fiʼä, ngeʼä hindí ho.
Dictionary 	He andado por dondequiera buscando ese animal, pero en ninguna parte lo he localizado.	Stá ʼño habu̱raza dá honi nuʼä ra mboʼni, pe hinhyabu̱ dí tsu̱di.
Dictionary 	No necesito nada.	Hinte dí honi.
Dictionary 	Nadie asistió a la reunión.	Hinto bi ma ra hmuntsʼi.
Dictionary 	Yo no sé escribir muy bien porque no he estado en la escuela.	Nuga hintsʼu̱ dí pädi ra tʼofo, ngeʼä histá xampäte.
Dictionary 	Ya estoy bañando al niño para llevarlo al centro.	Ya dí hiti ra bätsi pa ga tsitsʼi tai.
Dictionary 	Me lavé la cabeza, porque me voy a cortar el pelo.	Dá hiti mä ñäxu, ngeʼä mä ga ʼñäxi.
Dictionary 	Soltó un grito una persona en la cumbre de la montaña.	Bi do̱ge ʼna ra hmafi ʼna ra jäʼi ha ra ñäʼntho̱.
Dictionary 	Las personas saben, por experiencia, que el primer canto del gallo es como a las once de la noche.	Ya jäʼi ya xa hñakmeya ge rá mu̱di hmafi ra boxi geʼä ngu ʼne̱tʼamäʼra nxui.
Dictionary 	Hay ocasiones en que se oye el bramido de la mar a larga distancia.	ʼNandi tʼo̱de rá hmafi ra ndehe denda yabu̱.
Dictionary 	Se oye fuerte el silbido del tren.	Xi ntʼo̱de ntsʼe̱di rá hmafi ra nju̱mbo̱jä.
Dictionary 	En la asamblea hubo discusión.	Ha ra hmuntsʼi bi nja ra hmahni.
Dictionary 	Allá, en la fiesta, la gritería de la gente se escucha desde lejos.	Nuni ha ra ngo rá hmaxni ya jäʼi di ntʼo̱de dende yabu̱.
Dictionary 	Les hicieron una amonestación a todos los que no obedecen.	Bi tʼo̱tua ʼna ra hmaʼti gatho nuʼu̱ hingya ʼyo̱te.
Dictionary 	Le dieron la invitación a todos los que quieran ir a presenciar el juego.	Bi tʼumba ra hmaʼti to dä ne dä ma ra ntʼeni.
Dictionary 	Dieron el aviso para que todos asistan a la reunión.	Bi tʼunga ra hmaʼti pa gatho dä ma ha ra hmuntsʼi.
Dictionary 	Aquella primera nuera es más estimada que la última.	Nuni ra mu̱di tsʼihue̱ go ra hmädi ke ra hmäki ngätsʼi.
Dictionary 	Stá ʼraʼa hmähä.	Indica algo que hubiera pasado.
Dictionary 	Ya xa du nuʼä toʼo mi honga ra zi bätsi pa xa hyo hmähä.	Indica que no se logró hacer, o que se logró con dificultad.
Dictionary 	Mä me̱ti hmähä.	Indica algo que era (pero ya no es).
Dictionary 	Mentʼä dí ñhoki, hete hmähä yá dutu ri ku.	Se usa con el imperativo para animar a hacer algo.
Dictionary 	La manteca cuando está caliente, es líquida; después de que se enfría, se cuaja.	Ra nde̱ga nuʼbu̱ xá pa di ndehe; ʼme̱fa dä käni, di hmähni.
Dictionary 	Riega un poco de agua en el patio para se calme un poco el polvo.	Hmäi tsʼu̱ ra dehe ha ra ʼbatha pa dä huexa tsʼu̱ ra foʼnthai.
Dictionary 	De todos los hijos que tengo, uno solo es mi hijo amado.	Nuʼu̱ gaʼtho mä tʼu̱ dí pe̱ʼtsi, ʼnatho mä hmäkatʼu̱.
Dictionary 	Los policías traían a una persona para aprisionarla, pero ¡cómo se resistía!.	Ya nsu hnini mi zi ʼna ra jäʼi pa dä zixa fadi, pe xi mrí hmäki.
Dictionary 	Esas personas no descansan de sus acusaciones; se acusan unas a otras.	Nuʼu̱ ya jäʼi hingi tsaya ra hmämbate, di hmämbi ʼna ngu mänʼa.
Dictionary 	Hay naciones a las que les han afectado terremotos muy fuertes.	Jabu̱ mäʼra ya hnini mäʼra ya hai xa nja ya hmämhai xi ntsʼe̱di.
Dictionary 	Hay naciones que tienen su independencia.	Jaʼu̱ ya hnini pe̱ʼtsi yá hmända se̱he̱.
Dictionary 	Dicen que quien toma huevos tibios adquieren mucha substancia.	Tʼenä ge toʼo dä zi ra hmängdo, xi ku̱ ra nzaki.
Dictionary 	Quiero arrancar aquella piedra, pero no la muevo ni con la barreta.	Nuni ra do dí ne ga kʼu̱tsi, pe ni xi hmäni ko ra ʼbu̱hu̱.
Dictionary 	Me lastimé el pie en donde me corté, luego sangró.	Dá hmäni mä ua habu̱ stá he̱ki, ʼbestho bi mbanji.
Dictionary 	Riega agua para que no se levante el polvo cuando barras.	Hmänthe pa hinda nju̱xa ra foʼnthai nubye̱ xkí mpaxi.
Dictionary 	En la escuela ya se hace la regada de agua para que hagan el aseo.	Ha ra ngusadi ya ja ra hmänthe pa dä nja ra ʼbaxi.
Dictionary 	Las madres les tienen mucho amor a sus hijos.	Ya nänä xi ja yá hmäte ko yá tʼu̱.
Dictionary 	Aso la flor de calabaza o quelite en el comal; para que se cueza con el mismo jugo.	Dí hmätʼi ya do̱mxu o ya kʼani ha ra doʼyo pa dä däui rá ngi.
Dictionary 	Me he desvelado en la fiesta, no he dormido nada.	Stá hastʼähä ha ra hmäya, ni tsʼu̱ stá ähä.
Dictionary 	Mi hermano y su esposa se fueron lejos, a un paseo.	Mä ku ko rá ʼbe̱hñä bi ma ra hmäya yabu̱.
Dictionary 	Sacuda la ropa, porque a lo mejor tiene algo.	Hmäʼtsi ya dutu; xiʼbu̱ te di o.
Dictionary 	Extiende la alfalfa para que no se queme.	Hmäʼtsi ra hogä ndäpo pa hinda kʼastʼi.
Dictionary 	Mi mamá hace gorditas de elotes con piloncillo cada año.	Tatʼa je̱ya mä nänä hoki ya hmemxa.
Dictionary 	Es bonito un país donde hay paz; no hay pleitos ni odios.	Mähotho ʼna ra hnini habu̱ ja ra hmetho; otho ra tuhni ni ra ntʼu̱tsate.
Dictionary 	Hay ciertos animales que tienen hmihi la planta del pie semejante a la de un niño.	ʼBu̱i ʼra ya zuʼue pe̱ʼtsi rá hmeua ngu rá me̱ti ʼna ra tʼu̱bätsi.
Dictionary 	La señal de aquel animal no coincide con la de los nuestros.	Rá hmeya nuni ra mboʼni, hingi nthe̱xuí ko nuʼu̱ mä me̱tihu̱ .
Dictionary 	Ya marqué a todos mis animales.	Ya dá hmeya gatho mä mboʼni.
Dictionary 	Xuua bi ma ra hmibojä, pa dä ʼyo̱the rá ʼbe̱hñä.	Ra.
Dictionary 	Aquel señor es prestamista de dinero.	Nuni ra mbo̱ho̱ go ra hmibojäni.
Dictionary 	Hace varios meses que presté dinero y no me han pagado.	Ya pe̱ʼtsi ya zänä ndí hmibojä ha hinxa jutki.
Dictionary 	Esa bicicleta no te la puedo prestar porque no es mía, es prestada.	Nuni ra yotsanza bo̱jä hingi tsa ga hmiʼi, ngeʼä hinga mä me̱ti, ra hmihi.
Dictionary 	Ese hombre es prestamista; presta a todos los que le piden prestado.	Nuni ra ʼño̱ho̱, xi ra hmikate, hmi hängu te dä hmipi.
Dictionary 	Xuua ko ra Beto di hmimtʼe̱i, pa ʼnihi juadi ya ʼbe̱fi.	Ra.
Dictionary 	Aquellos dos albañiles, como son hermanos, se prestan la madera para hacer casas.	Nuyu̱ yoho ya gädo, koñʼä di nku, di hmimza, pa hoka ya ngu.
Dictionary 	Es necesario una nodriza para el niño en vista de que su mamá está enferma.	Mäthoni ʼna ra hminzu̱ pa ra bätsi ngetho rá nänä di hñeni.
Dictionary 	Se dice que esa mujer ya tenía un hijo pequeño y se hizo nodriza para amamantarme.	Tʼenä ge nu ra ʼbe̱hnä mi tsu̱ti ʼna ra bätsi hange bi hminzu̱ pa bi tsu̱tkagi.
Dictionary 	Cuando las personas se prestan ayuda unas a otras en el trabajo sin percibir sueldo, eso es compensación de trabajo con trabajo.	Nuʼbu̱ ya jäʼi dri mfatsʼi ʼna ngu mänʼa ha ra ʼbe̱fi ha hindi ntähä, geʼä ra hmiptsʼe̱di.
Dictionary 	Nos ayudamos mutuamente en el trabajo mi hermano y yo.	Dí hmiptsʼe̱diʼbe mä ku.
Dictionary 	Cuando se despidieron los del norte de los de aquí, con amor, fue con un fuerte apretón de manos.	Nuʼbu̱ bi ʼñete ya me mähuifi ko ra hmäte, bi nja ya hmipʼye̱ ko ya mengu ua.
Dictionary 	Cuando saludé a mi hermano, me dio unos apretones con el abrazo.	Nuʼbu̱ dá nze̱nguaʼbe mä ku bi ʼraka ʼra ya hmitʼi ko ra nthu̱fi.
Dictionary 	El patrón necesita darle garantías al obrero; no negarle los derechos que le corresponden.	Ra hmu mäthoni dä ʼramänu ra ʼbe̱go, hinda go̱nduäbi ra mfatsʼi ri ñʼepabi.
Dictionary 	Montón de piedras, se le llama a las piedras amontonadas.	Hmundo tʼembi habu̱ xa mundo ya do.
Dictionary 	Hay mojoneras donde están los límites de mi terreno.	Ja ya hmundo habu̱ kʼa mä hyodi de mä hai.
Dictionary 	Dicen que la víbora siempre muerde en la pantorrilla.	Tʼenä ge ra kʼeñä tsa nzäntho ha ra hmungo̱.
Dictionary 	La tablilla de la enagua de mi hija la hice yo misma.	Rá hmuni rá ngo̱de mä tʼixu dá hokuase̱.
Dictionary 	En el jardín del centro está un grupo de personas que van a la presidencia.	Ha ra uädri tai bí ʼbapu̱ ʼna ra hmutsjäʼi rí ma ha ra tsʼu̱tbi.
Dictionary 	Ajuä de mä ʼbotʼi.	Ya dá juadi ra hmuntsʼi de nuʼä xa huega.
Dictionary 	Dicen que a las nueve de la mañana es la reunión.	Zu̱ nga gu̱to xudi dä nja ra hmuntsʼi, ʼnä.
Dictionary 	El patrón regañó a la patrona porque todavía no le había dado de comer a los peones y era ya tarde.	Ra hmu bi zu̱i ra hmuʼnxu, ngeʼä hixkí ʼuini thoho ya me̱fi ha ya bi nde.
Dictionary 	La semilla de maíz que sembré no está muy buena.	Ra hmuthä dá potʼi, hintsʼu̱ gepu̱ .
Dictionary 	Dicen que por calentarse le da la gripe a la gente.	Tʼenä ge ko ra hnahni hange tsu̱di ra u̱ñä ra jäʼi.
Dictionary 	Me voy de aventurero; a ver si me va bien.	Mä ga ma ra hnani, xahmä ga ma xá ñho.
Dictionary 	La crítica de una persona hace enojar a la persona a quien critica.	Ra hnämäñʼu̱ de ʼna ra jäʼi, po̱nkua rá kue̱ nuʼä ra jäʼi toʼo tʼo̱tuí.
Dictionary 	Como que eructo por empacho; tal vez porque acabando de comer me acosté.	Nguʼbu̱ dí ko̱ʼtsa hnäthä; nzäge koñʼä ngu dá juadi ra hñuni dá ʼbe̱ni.
Dictionary 	Aquel niño está empachado porque a cada rato come.	Nuni ra metsi, xi ra hnäthä, ngeʼä njatʼä di ñuni.
Dictionary 	Me gusta ese perrito pardo; ahora que crezca me lo regalas.	Xi drí ho nuʼä ra tʼu̱ka hnäʼyo; nubye̱ stí nte gi ʼraki.
Dictionary 	El tepozán es mata grande y sus hojas son cenizas.	Ra hnäza ra dänga ʼbai ha xá ntati yá xi.
Dictionary 	Van a rifar un balón en la escuela y la rifa va a ser a las ocho de la noche.	Ha ra ngusadi mä dä hnehi ʼna ra nuni ha ra hnehi mä dä hnestarihi tʼo̱tʼe zu̱nga hñäto nxui.
Dictionary 	En los días de clausura de fin de curso de los alumnos, hay bailes en las escuelas por dondequiera.	Ya pa ga ngäxa nsadi ya bätsi habu̱raza ja ya hnei ha ya ngusadi.
Dictionary 	Cuando amaneció bien, me vine de mi casa.	Bi hneki xá ñho, dá ehe ha mä ngu.
Dictionary 	Ya se asoma el sol en la cumbre de la montaña.	Ya bi hneki ra hyadi ha ra ñäʼntho̱.
Dictionary 	Aquella persona parece muy buena, pero es mala.	Nuni ra jäʼi hneki ngu ra hojäʼi, pe ge ra tsʼoʼmu̱i.
Dictionary 	Unas monturas de caballos tienen estribos de fierro y otras de suela.	Yá nthutsʼi ya fani, ʼra pe̱tsi ya hneʼmi ga bo̱jä ha ʼra ga xifri.
Dictionary 	Los músicos que ves que tocan con sus instrumentos conocen las pisadas.	Ya me̱ʼmda gí handi pe̱ʼmda ko ya ʼbinxähi, ge pätua yá hneʼmi.
