ShaShiYaYi 	¿Por qué sigue el sufrimiento en nuestro pueblo?	¿Paita abisatsine anampiki eirorika atijayetajitsi?
ShaShiYaYi 	Mírale a la cinta donde se origina la bagre	Pikenkitsatakotajero jaoka okantanakari obotsorepe tsipana
ShaShiYaYi 	¿Qué otras cosas compran los pacientes que se quedan para seleccionar a sus familiares?	¿Paita pashini yamanantayetiri koityayetachari ariorika irante ibanko?
ShaShiYaYi 	[El rico] tiene algo que comer.	Timayetatsi pashinepe poshinirintsi yoyetari
ShaShiYaYi 	Mira, nombrar y remover a toda la población organizada por el Estado y a la población organizada por éste.	Pamenero shiyakantsi, pimpotsote maaroni amitakotantatsiri amitakotantsiki
ShaShiYaYi 	El anciano es la Autoridad Nacional del 12 de septiembre de 2018	Inchatinkari 12 setiembre osarentsi 2018 Jibabentirori nampitsi Inchatinkari Piñabentakojeitero sampitantsi
ShaShiYaYi 	El pájaro sangre de los patos	Irobayetari shitsaripaye
ShaShiYaYi 	A su vez, Ashaninka, el líder mundial de la isla, está muy interesado en hacer negocios con sus paisanos.	Ashaninka iyoti ibetsikabaiti, janti okarati ikobiri, isaikantyari kametsa ikarajeitiri ishaninka inampiki
ShaShiYaYi 	Establecer la demarcación de los parámetros de eficiencia (5 y 6) dentro de los parámetros de eficiencia ambiental, hasta tres después de la interrogación que recibió de su padre Zerik a 6 segundos de eficiencia, y 5 segundos de eficiencia, 6 segundos de eficiencia;	Antsipatero yotakotiro monkarari (5 jeri 6 inkaratabakayempaji) Pamene pankenatantsi ashi ointantsi kaniri, irosati irampatotempaji maba impoiji pisampitantyariri jaoka ikantakerori yoimisokijakero ñakarontsipe irosati 6 beshintsachari yora monkaratatsiri 5 yotaneri yora monkaratatsi 6 yotaneri irabishero ñakarontsi 6 beshintsachari
ShaShiYaYi 	A esa flor de la tarde	Otyakiti tsirapa
ShaShiYaYi 	El profesor ejerce la chacra.	Piñanatero ñanarentsi piyotantyarori paita okantakotiri
ShaShiYaYi 	Mucha lluvia correa.	Opari osheki inkani
ShaShiYaYi 	Regálale a nuestro querido amigo las historias que ha hecho.	Pimpairero bajirontsipe shiyarori kenkitsarentsi
ShaShiYaYi 	Vayan, pues, ustedes a las calles principales, y digan: “ ¡Miren! El lugar de las tinieblas está cerca.	Pikenkitsabaitantanajeari: Pikenkitsatakojeitero ikantakoyetakeri pitsipamintsare
ShaShiYaYi 	Reduzco los trámites legales que correspondan. Promuevo mi descontento ante las instituciones públicas competentes	Ayotakotajero okantakota iroperori obaritentsi Noinijantero noyotakeri Amitakotabakaya ankoyayete abankirepe Yotantsi
ShaShiYaYi 	Vamos a provocar un cambio en la casa pública	Tsame aniyetaite amenakoyetero pankotsi anampiki
ShaShiYaYi 	Los Planes de la Defensa Nacional	Ari yobetsiketirori amtamiki
ShaShiYaYi 	No le hemos echado abajo, en el tejido grande de nuestros abuelos, buscaremos provisiones	Te ampinkatsatajeriji, ankemisanteri acharinepe ikamanayeti, yobameyeti
ShaShiYaYi 	De la mesa de la finca que ustedes saben y entienden	Meka pisankenatakoyetajero maroni pikoakeri piyote aisati piyoyetakeri
ShaShiYaYi 	Revisa lo que está bueno y lo que está malo	Pikenkishiriakotajero kametsatakerika piñabaitake
ShaShiYaYi 	Lejos están ellos, sus paisanos, los Autogobiernos que Le dicen:	Te ishineteri isaikabaitashita ishaninkapaye ikantayetiri ontimatye yantabaiyete iriperotantyari
ShaShiYaYi 	Artículo 39 Impactos de la Naturaleza a cargo de los maestros de la física física y química, niños e instalaciones que les digan qué trabajos deben realizar para construir un palo de construcción de una casa.	Nobajiro 39 Apinkatsayeteri ashitarori inchatomashi Antayeteri obametantatsiri Akenkitsatakayeri jananeki, ikantakoyetero paita iyoyetiri iriori amabentakotyari ayeterinka inchapanki abetsikantyari pankotsi
ShaShiYaYi 	Hay muchas cosas importantes para aprender.	Namenayete kenkeshiriantsipe noyotantyari
ShaShiYaYi 	Cualquier cosa que estén haciendo, la luna llena estará llena de luz	Paita yayetiri, aisati intiyetyari,oshiyokantyari kametsa
ShaShiYaYi 	Cuando los rayos caían, los rayos caían; era un remolino solitario.	Aririka ompiriaatanake (ompirijatanake) patsaarontsiki, apaniro opatankariaji
ShaShiYaYi 	– Váyanse al fin de la vida –les gritan a los buitres que los acompañan– que les digan a ellos que vengan.	Pimpokajeite maroni akemantyariri yotakosanotiriri sankirope iroinijaye jaoka akanteri apiantajeariri
ShaShiYaYi 	¿Por qué debemos hablar con los niños?	¿Paita oinijayeri ñanarentsi piñanatakoteri?
ShaShiYaYi 	La residencia de los Poderes Públicos no depende de la autorización de las compañías	Maroni yobayetari añayetatsiri, te ontimakoyete maroni kobayetachari
ShaShiYaYi 	¿Qué les pasa a los jóvenes y a los jóvenes?	¿Paita abisayetiri ebankaripe aisati ebankarope?
ShaShiYaYi 	El profesor grita:	Pikemisanteri iñanatero obametantatsiri
ShaShiYaYi 	Su nieto lloraba solita: "Sapo, sapo, sapo, sapo, soy un hombre como tus paisanos."	Inianabaita apaniroini: "Mashero, mashero, mashero ari inkame pishimanepaye"
ShaShiYaYi 	Le voy a hacer a su jaguar para que se arrodille	Nonkanterita ijimetsori intoyerota abapempari
ShaShiYaYi 	Convirtieron guisantes, incienso, colores rojos, ropas rojas para llevar un cuerpo bonito, de color verde para vestirse	Pishonkakotantyaro potsitari akoyayetiri ayari, kityonkari akoyayetiri antantyari nenketsiki opoña kenashiri akoyiri ajakantyari
ShaShiYaYi 	Chakopiña, para enseñar a mi paisano	Chakopi irointi itsameetantari ashaninka
ShaShiYaYi 	La mujer acumulada en un recipiente está buena.	Aisati oinijanta okametsati tsinane osaiki onampiki kametsa okimoshiriyeti
ShaShiYaYi 	Lo que se llama 161 Departamento de Educación: Supervisar la niñez, hacer visibles las niñezs de los hombres y las mujeres y ocupar los cargos que correspondan,	Nopajita 161 Okanta yamitakotabaka ashaninkape Antayeteri obametantatsiri: Pikenkitsatakajeiteri jananekipe paita yantajeitiri inampiki shirampari aisati tsinanepe impoiji pisampijeiteri jaoka ikanta yamitakotanti ibankoki impoiji yotantsipankoki
ShaShiYaYi 	Díganle que se acerque el Hijo del Hombre para que le abra las puertas del reino de los cielos, y que le abra las puertas del reino de los cielos.	Pinkanteri jananeki irampatotya irobetsikantyari maba sampitantsi, inashitempaji yantajeitakeri iro yameneri ora tsaripetaki, irosati imperi ishaninka apatoyetachari iroimisokijantyarori
ShaShiYaYi 	¿Es suya para siempre?	¿Timatsi okanta otsonkata kantakotantsi?
ShaShiYaYi 	Solamente vio a uno, allí estaba sentado, discutía por su esposa, un hombre rico, le dijo: “¿Por qué estás contento?” Y le dijo: “Estoy contento que mi esposa haya tomado esta coca, no tengo casa.”	Intani yañake aparoni, ari isaiki yobashiretakotaro iina okamake, iñatiri Shirinti ikantapakeri: "¿Paita pobashiretantari?" Yakanakeri: "Nobashiretakotatyaro noina okamake obamakero inkani, tekatsi nobanko"
ShaShiYaYi 	Mi abuelo pensó en atender una casa nueva que se había preparado y habló con la dirección de la casa.	Ajajeite amenaitero aparoni pankotsi obakera betsikachane impoiji ikenkitsatakobentero pankotsi charine
ShaShiYaYi 	Las vacas no se pelean por la escalera.	Okape te apitsatabakanetyaji obararope
ShaShiYaYi 	Vayamos a ver a mi abuelo que está en la Vida, pero primero habla con ellos para sacar lo que se puede hacer en la casa y donde se debe preparar la comida.	Tsame añajeiteri iriperori charine sabikaperobeitaroni anampi ikenkitsatakobentantyarori jaoka okantabeitarini pankotsipe jero aisati jaoka okantarini ibetsikantyarori
ShaShiYaYi 	Después Marita los dejó caer en la chacra.	Impoiji Marita oshiyakantakero meka abakoki
ShaShiYaYi 	El abuelo mató a tres personas para que vayan a visitar a sus paisanos allí presentes en el verano	Pisankenate maba sampitantsi irankantyarori ishaninka iramenantyarori ora ñakarontsi timatsiri ara tsaripetaki yointakeri kaniri osarentsi
ShaShiYaYi 	El pequeñito dejó su flecha y sacó su flecha.	Meka yora irijanikichonchokiji yaitaro ichakopite ¡tsekik!
ShaShiYaYi 	Cómo se sabe que la niña está demasiado gorda para tener hijos?	Osheki abajea kimoshirejeitake atomipe, tempa piyoti pikobintsabeti
ShaShiYaYi 	Oigan los pájaros que vuelan sobre la trampa, ¿no es verdad?	Pameneri tsimeripe shitikachaneri obirentsiki ¿Jaoka ikarati tsimeri?
ShaShiYaYi 	¿Cómo se llamaba el rey de los judíos para recoger las piedras y cocerlas?	¿Jaoka opajiyetari obaritentsi antamisato yobayeetari aisati yatsoyeetiri?
ShaShiYaYi 	Mira el dibujo y pásalo a la familia	Pamenero shiyakantsi impoiji pipotsoteri tsibani añakobintsatantyariri
ShaShiYaYi 	Cuando lleguen a la chacra, exigimos que los yucas sean protegidos por nosotros mismos y correspondan: “Ahora voy a sacar tu basura.”	Aririka aretapakia obantsiki otimatye abetsatapakiaro kanirimashi akantapakero:"Iña, nokobi naye pibatsa."
ShaShiYaYi 	¿Por qué es bonito y bonito el catalán?	¿Paita kametsayetatsiri aisati kari kametsayetatsi?
ShaShiYaYi 	La hoja de ruta de la mujer	Eiro ashitatsi kempeji
ShaShiYaYi 	Ya no está bien, ya se acabó.	Eiro itijitsi irosati intsonkarantajeaji
ShaShiYaYi 	Después, Shempiri dijo: - "Cuñado, vamos a ver los problemas que tenemos que sacar".	Opoña Shempiri ikantakeri: - "Ani, tsame añantabakaiya janika anatikotantatsine"
ShaShiYaYi 	¿Cómo es que el pájaro tiene un pajarito?	¿Tsika ikantaitiri ikotsitiri tsimerika?
ShaShiYaYi 	Cuando viven en estos lugares, los Autoridades Administrativas del Distrito Federal otorgan a mi abuelo las funciones de un palo [achiote] y cuando se pasa la luna llena llena de gratitud, entonces terminan los estudios superiores de los árboles que están al lado de los palitos.	Arika akobayete ayetero kobayetachari antantayetyari akobayeti, ontimatye ayoyetero ikantiri charine kempetachari ayetero inchakipe arika iniankitaje kashiri eirorika ari intsonkakero periki aisati ari okarake, ayoyetero iroperori inchato kisoyetatsiri aisati shibitsa ashitikayetantyarori
ShaShiYaYi 	se juntan dos peces grandes que hacen correr los pájaros hasta donde está la flecha	Aparope yapatojeitaka inkoye apite piratsipe terika tsimeripe ishiyakanteri kitamapanaroki jaoka isaikayeti
ShaShiYaYi 	Los peces de este tamaño tienen peces que tienen yerba, los cuales tienen su nido en el estomago, por eso se desenvuelven cuando lo toman en serio, se parece a: Porotoro, „hasta donde el gato andaba‟.	Shimapaye timayetatsiri iche11 Timatsi shimapaye timatsiri iche, otimantari iche irotake ipiyakobenantari aririka irantamintsaiteri, ikemeta: poroporoti, kitotsa ejati tsibeta
ShaShiYaYi 	¿Cómo se recupera el alimento de los otros, no?	¿Kametsatatsima abamantyari sankori ejati pashinipaye, kepiyari?
ShaShiYaYi 	¿Cómo se hacen muchos tejidos?	¿Paitakia itimantayetakari osheki meka?
ShaShiYaYi 	Las semillas: Los frutos del agua dulce que brotan de la masa masacran allí. Los frutos de la canasta de Mantsakintzi dicen: Hay dos tipos de pesca, andan en la chacra, traen otra clase de pesca	Kobayetachari: Piite okitsoki (oitsoki) paatirishi Nija moyaajari (moijari) katsinkaari Mantsakintsi kiteri asheborotyaari Ankantero: Timatsiri aitariti apiteroiteki oki, ajatake obaantsiki antsatyakotaite sampataintsiri okitsoki paatirishi
ShaShiYaYi 	El samanyo se inclina: "Toca yuca, le ajusta demasiado los tubérculos para comer, demasiado para pelar."	Akanake samani:"Notsokati kaniri, kantimaitacha te obatsaperote noyanire, oshekitashitaka oshitsapaye"
ShaShiYaYi 	CUANDO se apruebe la gestión administrativa de los titulares de los santos santos, se regula la legislación de los paisanos	Iroñaka amenero okantakoyetiri santonkarentsipaye ejati ipotsoborotari ashaninkapaye
ShaShiYaYi 	Voy a utilizar el agua para erosionar el ambiente del agua, con la autorización de su madre	Nokatiri nijashi ero aashiretantari nija, aririka onkatakayari iriniro
ShaShiYaYi 	Se puede exigimos que se adecuen a los buenos usos de la sociedad, los bienes asociados, la protección de los consumidores, los derechos de los usuarios y los derechos de los usuarios.	Meka otimatye akempoyero kametsa antami irotake ayomparitari, osheki otimantaro poshinirintsipe, akantajeiteri ashaninka eiro apomerentsitaro antami
ShaShiYaYi 	¿Cuántos captan los colectores?	¿Jaoka okarati tsapaye?
ShaShiYaYi 	Moisés y como vas a conocer el camino	Pishiyakantero aisati pipotsoyotero ora katiyapentsakiro
ShaShiYaYi 	¿Por qué se consigue grande carne para los caballos?	¿Paitatya otimantari antaro impoiji orijaniki sankenarentsi?
ShaShiYaYi 	Este escudo fue con el apoyo de mi paisano el armadillo y un palo para el cambio climático; se formó una banda de peces y peces	Iroka shimperentsi ari ibetsikiro ashaninka jayiro kamonakota, inchapanki ibetsikakero kametsa; onkeni apata intetya shima, mamori ejati kobiri
ShaShiYaYi 	quiénes son los violadores para que hablen	Pisankenatero ñantsi koityachari piñanatantyarori kametsa kenkishiriantsi
ShaShiYaYi 	Papás, los voy a llamar a la puerta del río.	Ashitaaniripaye, nokaimakantajeitimi ampatojeitya
ShaShiYaYi 	Cuando cuenten, el profesor está reunido afuera, esperando a que lo envíe a la casa.	Arika apiyapaje yotantsipankoki apatojeitya añabentantajiarori asampitakeriri yotirori ibetsiki pankotsi
ShaShiYaYi 	Vamos a engañarnos a nosotros mismos, que vivimos en fosos pequeños	Tsame apatojeitya ankenkitsatakojeitero paita antayeteri aisati jaoka ankantayetero amenakoyetero pomerentsitantsi kantakoyetirori isabikayetira añayetatsiri aisati abetsikayetero antayeteri
ShaShiYaYi 	El profesor Aijatiro, profesor de física y química tiene 83 plantas que explican las plantas de la niñez y las necesidades de la niñez.	Nobajiro 83 Inchashipe aabintyari akobintsatantyari Antayeteri obametantatsiri Aijateri kobintsari yobamete inchashi, ibenki, pinitsi yabintari inkobintsatantyari
ShaShiYaYi 	Bajo las hojas, alegra a Bajo Paujil y a mi paisano	Oshiki yoimoshirinkiri Kiramenkiri pankirianti ashaninka
ShaShiYaYi 	Una historia historia [una historia] se escucha y se percibe la historia de la máquina	Paye apani pitsapatakoteri impoiji pishiyakabenteri ikantakotari obayetariri
ShaShiYaYi 	Voy a visitar a ⁇  en el río profundo; vivo en el charco y en la yuca solita, no tengo donde emular	Nojaiti irobaneki parenisati irointi noñake narankamashi aisati ipankitiro apaniro kaniri tekatsi inkonobayetero
ShaShiYaYi 	La casa de Shawashi es única para los fines de la política exterior	Shabashi Chori Pisankenatakotero tsika okanta pikenkishiriakotiro oinijairi kantakotantsi piñanatakeri
ShaShiYaYi 	El hacha está al lado de las hojas de humiro y de la soga al lado del luna	Yairo inchatope, kompiroshipe jero shibitsape aririka kashiri
ShaShiYaYi 	La brujería se alimenta de la fiebre.	Okoñatantakari ejati opashineyeti abetsikayetiri
ShaShiYaYi 	¿Cómo está el paisano que sirve para su pueblo?	¿Tsika ikantari ashaninka pimantirori ibankeri inampiki?
ShaShiYaYi 	Si tenemos chicha de maíz, no tenemos masato ni tortilla, no tenemos masato de pijuayo, no tenemos cabeza de pescado, no tenemos piojos	Aririka antsake shinki, ero asobabaiti, ero abari tsiyeri, ero abaro isheito shima ejati ero atsotiri pitsi
ShaShiYaYi 	¿Cómo se llama la chimicua?	¿Tsika ipaita obayetarori pamaki?
ShaShiYaYi 	¿Qué es lo que los vecinos tienen que hablar?	¿Tsikatya opaitaka ñanarentsi piñanataoteri?
ShaShiYaYi 	¿Cómo estaba el niño?	¿Tsika ibaitsiroka obashirontsi?
ShaShiYaYi 	Fantasma, niños, niñas y niños, con el propósito de sembrar yuca, que diezma los abuelos y otras cosas respecto de las emisiones de gases, que deben poner para castigar a los cazadores, que son las que debemos servir para hacer buenas yucas.	Pinkenkitsatakayeri jananeki, okobaperotantari apankite kaniri, jaokapaite ampankite aisati paita apinkatsateri apankitantyari, jaoka inkantyari ointatsiri, paita anteri abintantyari kametsa kaniri
ShaShiYaYi 	En la chacra juramenta a los extranjeros para usar esta comunicación, recibidora, secretaria de Jesucristo,	Jananekipe iranake kapichaji timimoyetiriri impantyarori nato okamantayetantakari, oinijayetantakariri, okamanayetantakariri yotaneripe, kametsa
ShaShiYaYi 	¿Está bien para comer y beber?	¿Itaka oñabentakotiri kenkitsarentsika?
ShaShiYaYi 	Hay muchas maneras de comunicarse entre los hombres para avisar a la autoridad o a los niños pequeños.	Onashiyeta isatonkatantyari shirampari kobintsantipe, pinkatsaripe, ompitasatinkaripe
ShaShiYaYi 	Los sajinos viven en el cerro.	Apatoyetiro kajarashi oponkitikipeki pankirentsipeki
ShaShiYaYi 	Cuando siembran muchos pajaritos, los llenan de violencia hasta el collar	Arika intimake osheki pashito ari irobamakeri intsokitakeri iriraja
ShaShiYaYi 	Se fueron volando; miraban para abrir las puertas, le vio	Jatanake antamishiki; etini ramenabeta omorona ikiantyari, temaita iñe
ShaShiYaYi 	Así predican que es bueno para sus paisanos	Ari okantari joimoshirinkiro kametsa antamishi ejati ishaninkapaye
ShaShiYaYi 	El uso que hacemos de este cereal es el que nos da la lluvia temprana y la lluvia tardía, así como los árboles frutales y las hojas de los árboles cuando el agua cae sobre la tierra.	Ayotakotantarori antaberepe, irointi yotantsipe kamantayeteri kempeyetachari abisayetatsiri nijaki, tomirimashiki aisati inkiteki kempeyetachari otyakiyeti inchatope, yapatoyeta impokirope, aisati menkoripe, arika oshirinkatanaje nija timatsi okamantayeteri
ShaShiYaYi 	A los sacerdotes principales no les tengas miedo, y ve a decirles a los niños que vienen en las plazas donde tienen su aspecto, este pequeñito 2, chiquitito 3, grande, pequeño 4, grande y alto,	Pamenaperotero shiyakantsi eiro pitsarokiatsi poña pisankinatero ñakarontsi monkarokipayekira tsika otimi intarori, kantsirika, yapitsi7 1, irijaniki 2, kimotarijaniki 3, antarojaniki 4, antaropero
